timestamp,sequence_id,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z,orien_w,orien_x,orien_y,orien_z
1727776115.5119834,655530,-0.15400170779184147,-0.08610889404932179,0.030817887737313157,-4.101715544523926,-0.15679756758544922,-15.446625286127931,0.0,0.0,0.0,1.0
1727776115.5144634,655531,0.009045034263617555,-0.005936147852892347,0.03673269400699343,-5.718303394709473,-0.2248814860913086,-14.788919398117676,0.0,0.0,0.0,1.0
1727776115.5169377,655532,0.14257770235107758,0.10447549929848414,0.09363927309798376,-4.557769857231445,0.0017286187939453126,-14.284286833769531,0.0,0.0,0.0,1.0
1727776115.5194578,655533,-0.00783694489939697,0.09455067450818007,0.10279935580564417,-3.6356829863012696,0.6828267790209961,-13.761206439104004,0.0,0.0,0.0,1.0
1727776115.5219526,655534,-0.05674137046148531,0.023636580161915232,0.09724313171288285,-3.9805004219018554,0.2408738170678711,-13.057721520754395,0.0,0.0,0.0,1.0
1727776115.5244615,655535,0.08449231653329722,0.07965384591729854,0.13739792377213822,-3.6908543465698243,0.634919609296875,-11.958600339440917,0.0,0.0,0.0,1.0
1727776115.5269248,655536,0.09958209902238602,0.09585630003224228,0.1594759025699652,-2.6938834361865234,1.1267445000512695,-10.539200473798827,0.0,0.0,0.0,1.0
1727776115.5294363,655537,0.021602415369461368,0.07963626907168088,0.14399681070483472,-1.9648661793530273,0.5262968770458984,-9.893474389907226,0.0,0.0,0.0,1.0
1727776115.531951,655538,-0.014739710313870414,0.06712360481687814,0.12946316832687987,-1.5121371293847659,-0.9018271134448242,-9.223140810351563,0.0,0.0,0.0,1.0
1727776115.5344558,655539,-0.050795941904984,0.07358294224800413,0.12928340109797437,-0.54489574125,-1.0462350476586915,-7.928711896516114,0.0,0.0,0.0,1.0
1727776115.5370078,655540,-0.10950762591809356,0.03844236101530436,0.12969117503910935,-0.03539281352783203,-0.8816684647558594,-6.457978669416504,0.0,0.0,0.0,1.0
1727776115.5394478,655541,-0.1301996325091359,-0.00907547900654346,0.12193537980505138,0.3726945152416992,-1.083986147446289,-4.846204425029297,0.0,0.0,0.0,1.0
1727776115.54199,655542,-0.12541257699113084,-0.04504188145689939,0.1038919730415267,0.24718343748779295,-2.066718517961426,-3.493434656865235,0.0,0.0,0.0,1.0
